Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
72.6000,6.856120,6.856120
73.6000,6.785596,6.785596
74.1000,6.751004,6.751004
75.1000,6.683119,6.683119
75.6000,6.649809,6.649809
76.6000,6.584416,6.584416
77.1000,6.552317,6.552317
78.1000,6.489279,6.489279
78.6000,6.458326,6.458326
79.6000,6.397518,6.397518
80.1000,6.367650,6.367650
81.1000,6.308955,6.308955
81.6000,6.280115,6.280115
82.6000,6.223422,6.223422
83.1000,6.195558,6.195558
84.1000,6.140767,6.140767
84.6000,6.113829,6.113829
85.6000,6.060845,6.060845
86.1000,6.034788,6.034788
87.1000,5.983522,5.983522
87.6000,5.958303,5.958303
88.6000,5.908672,5.908672
89.1000,5.884251,5.884251
90.1000,5.836178,5.836178
90.6000,5.812517,5.812517
91.6000,5.765929,5.765929
92.1000,5.742993,5.742993
93.1000,5.697822,5.697822
93.6000,5.675579,5.675579
94.6000,5.631760,5.631760
95.1000,5.610178,5.610178
96.1000,5.567652,5.567652
96.6000,5.546702,5.546702
97.6000,5.505412,5.505412
98.1000,5.485066,5.485066
99.1000,5.444959,5.444959
99.6000,5.425192,5.425192
100.6000,5.385499,5.385499
101.1000,5.365692,5.365692
102.1000,5.326628,5.326628
102.6000,5.307365,5.307365
103.6000,5.269366,5.269366
104.1000,5.250625,5.250625
105.1000,5.213648,5.213648
105.6000,5.195407,5.195407
106.6000,5.159411,5.159411
107.1000,5.141650,5.141650
108.1000,5.106596,5.106596
108.6000,5.089298,5.089298
109.6000,5.055148,5.055148
110.1000,5.038293,5.038293
111.1000,5.005014,5.005014
111.6000,4.988586,4.988586
112.6000,4.956144,4.956144
113.1000,4.940127,4.940127
114.1000,4.908491,4.908491
114.6000,4.892869,4.892869
115.6000,4.862008,4.862008
116.1000,4.846767,4.846767
117.1000,4.816654,4.816654
117.6000,4.801779,4.801779
118.6000,4.772387,4.772387
119.1000,4.757866,4.757866
120.1000,4.729168,4.729168
120.6000,4.714988,4.714988
121.6000,4.686960,4.686960
122.1000,4.673110,4.673110
123.1000,4.645729,4.645729
123.6000,4.632196,4.632196
124.6000,4.605440,4.605440
125.1000,4.592214,4.592214
126.1000,4.566061,4.566061
126.6000,4.553132,4.553132
127.6000,4.527562,4.527562
128.1000,4.514919,4.514919
129.1000,4.489913,4.489913
129.6000,4.477547,4.477547
130.6000,4.453086,4.453086
131.1000,4.440989,4.440989
132.1000,4.417055,4.417055
132.6000,4.405217,4.405217
133.6000,4.381794,4.381794
134.1000,4.370207,4.370207
135.1000,4.347278,4.347278
135.6000,4.335934,4.335934
136.6000,4.313484,4.313484
137.1000,4.302376,4.302376
138.1000,4.280389,4.280389
138.6000,4.269509,4.269509
139.6000,4.247972,4.247972
140.1000,4.237314,4.237314
141.1000,4.216212,4.216212
141.6000,4.205768,4.205768
142.6000,4.185090,4.185090
143.1000,4.174854,4.174854
144.1000,4.154586,4.154586
144.6000,4.144552,4.144552
145.6000,4.124681,4.124681
146.1000,4.114844,4.114844
147.1000,4.095360,4.095360
147.6000,4.085712,4.085712
148.6000,4.066603,4.066603
149.1000,4.057141,4.057141
150.1000,4.038396,4.038396
150.6000,4.029113,4.029113
151.6000,4.010723,4.010723
152.1000,4.001615,4.001615
153.1000,3.983568,3.983568
153.6000,3.974630,3.974630
154.6000,3.956918,3.956918
155.1000,3.948144,3.948144
156.1000,3.930758,3.930758
156.6000,3.922144,3.922144
157.6000,3.905074,3.905074
158.1000,3.896617,3.896617
159.1000,3.879855,3.879855
159.6000,3.871549,3.871549
160.6000,3.855087,3.855087
161.1000,3.846929,3.846929
162.1000,3.830759,3.830759
162.6000,3.822745,3.822745
163.6000,3.806858,3.806858
164.1000,3.798985,3.798985
165.1000,3.783375,3.783375
165.6000,3.775637,3.775637
166.6000,3.760297,3.760297
167.1000,3.752692,3.752692
168.1000,3.737614,3.737614
168.6000,3.730140,3.730140
169.6000,3.715317,3.715317
170.1000,3.707969,3.707969
171.1000,3.693396,3.693396
171.6000,3.686171,3.686171
172.6000,3.671841,3.671841
173.1000,3.664736,3.664736
174.1000,3.650644,3.650644
174.6000,3.643656,3.643656
175.6000,3.629795,3.629795
176.1000,3.622921,3.622921
177.1000,3.609286,3.609286
177.6000,3.602523,3.602523
178.6000,3.589108,3.589108
179.1000,3.582455,3.582455
180.1000,3.569255,3.569255
180.6000,3.562708,3.562708
181.6000,3.549717,3.549717
182.1000,3.543274,3.543274
183.1000,3.530488,3.530488
183.6000,3.524146,3.524146
184.6000,3.511561,3.511561
185.1000,3.505318,3.505318
186.1000,3.492928,3.492928
186.6000,3.486781,3.486781
187.6000,3.474583,3.474583
188.1000,3.468530,3.468530
189.1000,3.456519,3.456519
189.6000,3.450558,3.450558
190.6000,3.438729,3.438729
191.1000,3.432859,3.432859
192.1000,3.421208,3.421208
192.6000,3.415426,3.415426
193.6000,3.403949,3.403949
194.1000,3.398254,3.398254
195.1000,3.386948,3.386948
195.6000,3.381336,3.381336
196.6000,3.370197,3.370197
197.1000,3.364668,3.364668
198.1000,3.353692,3.353692
198.6000,3.348243,3.348243
199.6000,3.337427,3.337427
200.1000,3.332057,3.332057
201.1000,3.321397,3.321397
201.6000,3.316105,3.316105
202.6000,3.305597,3.305597
203.1000,3.300381,3.300381
204.1000,3.290022,3.290022
204.6000,3.284880,3.284880
205.6000,3.274668,3.274668
206.1000,3.269598,3.269598
207.1000,3.259530,3.259530
207.6000,3.254531,3.254531
208.6000,3.244603,3.244603
209.1000,3.239674,3.239674
210.1000,3.229883,3.229883
210.6000,3.225022,3.225022
211.6000,3.215366,3.215366
212.1000,3.210572,3.210572
213.1000,3.201048,3.201048
213.6000,3.196318,3.196318
214.6000,3.186924,3.186924
215.1000,3.182259,3.182259
216.1000,3.172991,3.172991
216.6000,3.168388,3.168388
217.6000,3.159245,3.159245
218.1000,3.154704,3.154704
219.1000,3.145682,3.145682
219.6000,3.141201,3.141201
220.6000,3.132299,3.132299
221.1000,3.127877,3.127877
222.1000,3.119092,3.119092
222.6000,3.114728,3.114728
223.6000,3.106058,3.106058
224.1000,3.101751,3.101751
225.1000,3.093193,3.093193
225.6000,3.088942,3.088942
226.6000,3.080494,3.080494
227.1000,3.076298,3.076298
228.1000,3.067959,3.067959
228.6000,3.063816,3.063816
229.6000,3.055583,3.055583
230.1000,3.051493,3.051493
231.1000,3.043365,3.043365
231.6000,3.039326,3.039326
232.6000,3.031300,3.031300
233.1000,3.027312,3.027312
234.1000,3.019386,3.019386
234.6000,3.015448,3.015448
235.6000,3.007621,3.007621
236.1000,3.003732,3.003732
237.1000,2.996002,2.996002
237.6000,2.992161,2.992161
238.6000,2.984525,2.984525
239.1000,2.980731,2.980731
240.1000,2.973190,2.973190
240.6000,2.969442,2.969442
241.6000,2.961992,2.961992
242.1000,2.958289,2.958289
243.1000,2.950929,2.950929
243.6000,2.947271,2.947271
244.6000,2.939999,2.939999
245.1000,2.936385,2.936385
246.1000,2.929201,2.929201
246.6000,2.925630,2.925630
247.6000,2.918530,2.918530
248.1000,2.915002,2.915002
249.1000,2.907986,2.907986
249.6000,2.904499,2.904499
