# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: FTFP_BERT
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
        44.1000                  10.2174                            10.2174
        44.6000                  10.1257                            10.1257
        45.1000                  10.0358                            10.0358
        45.6000                   9.9477                             9.9477
        46.1000                   9.8614                             9.8614
        46.6000                   9.7769                             9.7769
        47.1000                   9.6939                             9.6939
        47.6000                   9.6126                             9.6126
        48.1000                   9.5329                             9.5329
        48.6000                   9.4547                             9.4547
        49.1000                   9.3780                             9.3780
        49.6000                   9.3027                             9.3027
        50.1000                   9.2288                             9.2288
        51.1000                   9.0850                             9.0850
        51.6000                   9.0150                             9.0150
        52.6000                   8.8788                             8.8788
        53.1000                   8.8125                             8.8125
        54.1000                   8.6833                             8.6833
        54.6000                   8.6204                             8.6204
        55.6000                   8.4976                             8.4976
        56.1000                   8.4377                             8.4377
        57.1000                   8.3210                             8.3210
        57.6000                   8.2640                             8.2640
        58.6000                   8.1528                             8.1528
        59.1000                   8.0985                             8.0985
        60.1000                   7.9924                             7.9924
        60.6000                   7.9406                             7.9406
        61.6000                   7.8393                             7.8393
        62.1000                   7.7898                             7.7898
        63.1000                   7.6930                             7.6930
        63.6000                   7.6456                             7.6456
        64.6000                   7.5530                             7.5530
        65.1000                   7.5077                             7.5077
        66.1000                   7.4190                             7.4190
        66.6000                   7.3755                             7.3755
        67.6000                   7.2905                             7.2905
        68.1000                   7.2488                             7.2488
        69.1000                   7.1672                             7.1672
        69.6000                   7.1272                             7.1272
        70.6000                   7.0488                             7.0488
        71.1000                   7.0104                             7.0104
        72.1000                   6.9351                             6.9351
        72.6000                   6.8981                             6.8981
        73.6000                   6.8256                             6.8256
        74.1000                   6.7901                             6.7901
        75.1000                   6.7203                             6.7203
        75.6000                   6.6861                             6.6861
        76.6000                   6.6188                             6.6188
        77.1000                   6.5858                             6.5858
        78.1000                   6.5210                             6.5210
        78.6000                   6.4892                             6.4892
        79.6000                   6.4267                             6.4267
        80.1000                   6.3959                             6.3959
        81.1000                   6.3356                             6.3356
        81.6000                   6.3059                             6.3059
        82.6000                   6.2476                             6.2476
        83.1000                   6.2189                             6.2189
        84.1000                   6.1625                             6.1625
        84.6000                   6.1348                             6.1348
        85.6000                   6.0803                             6.0803
        86.1000                   6.0535                             6.0535
        87.1000                   6.0007                             6.0007
        87.6000                   5.9748                             5.9748
        88.6000                   5.9237                             5.9237
        89.1000                   5.8985                             5.8985
        90.1000                   5.8490                             5.8490
        90.6000                   5.8247                             5.8247
        91.6000                   5.7767                             5.7767
        92.1000                   5.7531                             5.7531
        93.1000                   5.7066                             5.7066
        93.6000                   5.6837                             5.6837
        94.6000                   5.6385                             5.6385
        95.1000                   5.6163                             5.6163
        96.1000                   5.5725                             5.5725
        96.6000                   5.5509                             5.5509
        97.6000                   5.5083                             5.5083
        98.1000                   5.4874                             5.4874
        99.1000                   5.4460                             5.4460
        99.6000                   5.4257                             5.4257
       100.6000                   5.3855                             5.3855
       101.1000                   5.3657                             5.3657
       102.1000                   5.3266                             5.3266
       102.6000                   5.3074                             5.3074
       103.6000                   5.2694                             5.2694
       104.1000                   5.2506                             5.2506
       105.1000                   5.2136                             5.2136
       105.6000                   5.1954                             5.1954
       106.6000                   5.1594                             5.1594
       107.1000                   5.1417                             5.1417
       108.1000                   5.1066                             5.1066
       108.6000                   5.0893                             5.0893
       109.6000                   5.0551                             5.0551
       110.1000                   5.0383                             5.0383
       111.1000                   5.0050                             5.0050
       111.6000                   4.9886                             4.9886
       112.6000                   4.9561                             4.9561
       113.1000                   4.9401                             4.9401
       114.1000                   4.9085                             4.9085
       114.6000                   4.8929                             4.8929
       115.6000                   4.8620                             4.8620
       116.1000                   4.8468                             4.8468
       117.1000                   4.8167                             4.8167
       117.6000                   4.8018                             4.8018
       118.6000                   4.7724                             4.7724
       119.1000                   4.7579                             4.7579
       120.1000                   4.7292                             4.7292
       120.6000                   4.7150                             4.7150
       121.6000                   4.6870                             4.6870
       122.1000                   4.6731                             4.6731
       123.1000                   4.6457                             4.6457
       123.6000                   4.6322                             4.6322
       124.6000                   4.6054                             4.6054
       125.1000                   4.5922                             4.5922
       126.1000                   4.5661                             4.5661
       126.6000                   4.5531                             4.5531
       127.6000                   4.5276                             4.5276
       128.1000                   4.5149                             4.5149
       129.1000                   4.4899                             4.4899
       129.6000                   4.4775                             4.4775
       130.6000                   4.4531                             4.4531
       131.1000                   4.4410                             4.4410
       132.1000                   4.4171                             4.4171
       132.6000                   4.4052                             4.4052
       133.6000                   4.3818                             4.3818
       134.1000                   4.3702                             4.3702
       135.1000                   4.3473                             4.3473
       135.6000                   4.3359                             4.3359
       136.6000                   4.3135                             4.3135
       137.1000                   4.3024                             4.3024
       138.1000                   4.2804                             4.2804
       138.6000                   4.2695                             4.2695
       139.6000                   4.2480                             4.2480
       140.1000                   4.2373                             4.2373
       141.1000                   4.2162                             4.2162
       141.6000                   4.2058                             4.2058
       142.6000                   4.1851                             4.1851
       143.1000                   4.1749                             4.1749
       144.1000                   4.1546                             4.1546
       144.6000                   4.1446                             4.1446
       145.6000                   4.1247                             4.1247
       146.1000                   4.1148                             4.1148
       147.1000                   4.0954                             4.0954
       147.6000                   4.0857                             4.0857
       148.6000                   4.0666                             4.0666
       149.1000                   4.0571                             4.0571
       150.1000                   4.0384                             4.0384
       150.6000                   4.0291                             4.0291
       151.6000                   4.0107                             4.0107
       152.1000                   4.0016                             4.0016
       153.1000                   3.9836                             3.9836
       153.6000                   3.9746                             3.9746
       154.6000                   3.9569                             3.9569
       155.1000                   3.9481                             3.9481
       156.1000                   3.9308                             3.9308
       156.6000                   3.9221                             3.9221
       157.6000                   3.9051                             3.9051
       158.1000                   3.8966                             3.8966
       159.1000                   3.8799                             3.8799
       159.6000                   3.8715                             3.8715
       160.6000                   3.8551                             3.8551
       161.1000                   3.8469                             3.8469
       162.1000                   3.8308                             3.8308
       162.6000                   3.8227                             3.8227
       163.6000                   3.8069                             3.8069
       164.1000                   3.7990                             3.7990
       165.1000                   3.7834                             3.7834
       165.6000                   3.7756                             3.7756
       166.6000                   3.7603                             3.7603
       167.1000                   3.7527                             3.7527
       168.1000                   3.7376                             3.7376
       168.6000                   3.7301                             3.7301
       169.6000                   3.7153                             3.7153
       170.1000                   3.7080                             3.7080
       171.1000                   3.6934                             3.6934
       171.6000                   3.6862                             3.6862
       172.6000                   3.6718                             3.6718
       173.1000                   3.6647                             3.6647
       174.1000                   3.6506                             3.6506
       174.6000                   3.6437                             3.6437
       175.6000                   3.6298                             3.6298
       176.1000                   3.6229                             3.6229
       177.1000                   3.6093                             3.6093
       177.6000                   3.6025                             3.6025
       178.6000                   3.5891                             3.5891
       179.1000                   3.5825                             3.5825
       180.1000                   3.5693                             3.5693
       180.6000                   3.5627                             3.5627
       181.6000                   3.5497                             3.5497
       182.1000                   3.5433                             3.5433
       183.1000                   3.5305                             3.5305
       183.6000                   3.5241                             3.5241
       184.6000                   3.5116                             3.5116
       185.1000                   3.5053                             3.5053
       186.1000                   3.4929                             3.4929
       186.6000                   3.4868                             3.4868
       187.6000                   3.4746                             3.4746
       188.1000                   3.4685                             3.4685
       189.1000                   3.4565                             3.4565
       189.6000                   3.4506                             3.4506
       190.6000                   3.4387                             3.4387
       191.1000                   3.4329                             3.4329
       192.1000                   3.4212                             3.4212
       192.6000                   3.4154                             3.4154
       193.6000                   3.4039                             3.4039
       194.1000                   3.3983                             3.3983
       195.1000                   3.3869                             3.3869
       195.6000                   3.3813                             3.3813
       196.6000                   3.3702                             3.3702
       197.1000                   3.3647                             3.3647
       198.1000                   3.3537                             3.3537
       198.6000                   3.3482                             3.3482
       199.6000                   3.3374                             3.3374
       200.1000                   3.3321                             3.3321
       201.1000                   3.3214                             3.3214
