Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
35.6000,12.137268,12.137268
36.1000,12.001376,12.001376
36.6000,11.868907,11.868907
37.1000,11.739729,11.739729
37.6000,11.613720,11.613720
38.1000,11.490762,11.490762
38.6000,11.370743,11.370743
39.1000,11.253556,11.253556
39.6000,11.139102,11.139102
40.1000,11.027283,11.027283
40.6000,10.918007,10.918007
41.1000,10.811188,10.811188
41.6000,10.706742,10.706742
42.1000,10.604588,10.604588
42.6000,10.504651,10.504651
43.1000,10.406859,10.406859
43.6000,10.311140,10.311140
44.1000,10.217430,10.217430
44.6000,10.125664,10.125664
45.1000,10.035780,10.035780
45.6000,9.947722,9.947722
46.1000,9.861432,9.861432
46.6000,9.776857,9.776857
47.1000,9.693946,9.693946
47.6000,9.612648,9.612648
48.1000,9.532916,9.532916
48.6000,9.454705,9.454705
49.1000,9.377971,9.377971
49.6000,9.302672,9.302672
50.1000,9.228766,9.228766
51.1000,9.084982,9.084982
51.6000,9.015029,9.015029
52.6000,8.878830,8.878830
53.1000,8.812517,8.812517
54.1000,8.683308,8.683308
54.6000,8.620352,8.620352
55.6000,8.497600,8.497600
56.1000,8.437750,8.437750
57.1000,8.320974,8.320974
57.6000,8.264001,8.264001
58.6000,8.152769,8.152769
59.1000,8.098467,8.098467
60.1000,7.992387,7.992387
60.6000,7.940570,7.940570
61.6000,7.839287,7.839287
62.1000,7.789785,7.789785
63.1000,7.692975,7.692975
63.6000,7.645635,7.645635
64.6000,7.553004,7.553004
65.1000,7.507684,7.507684
66.1000,7.418964,7.418964
66.6000,7.375536,7.375536
67.6000,7.290480,7.290480
68.1000,7.248826,7.248826
69.1000,7.167208,7.167208
69.6000,7.127221,7.127221
70.6000,7.048834,7.048834
71.1000,7.010414,7.010414
72.1000,6.935067,6.935067
72.6000,6.898122,6.898122
73.6000,6.825640,6.825640
74.1000,6.790085,6.790085
75.1000,6.720305,6.720305
75.6000,6.686063,6.686063
76.6000,6.618834,6.618834
77.1000,6.585832,6.585832
78.1000,6.521015,6.521015
78.6000,6.489186,6.489186
